Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,3,0,0,2.00,0.00,0.00,[1, 7, 0, 0, 4, 4, 1]
2,3,1,-2,1.00,0.00,0.00,[1, 7, 0, 0, 4, 4, 1]
3,3,1,-3,0.00,0.00,0.00,[1, 7, 0, 0, 4, 4, 1]
4,0,1,-3,0.00,4.00,0.00,null
5,0,1,0,0.00,4.00,0.00,null
6,0,1,0,0.00,4.00,0.00,null
7,0,1,0,0.00,4.00,0.00,null
8,0,1,0,0.00,4.00,0.00,null
9,0,1,0,0.00,4.00,0.00,null
10,0,1,0,0.00,4.00,0.00,null
11,0,1,0,0.00,4.00,0.00,null
12,0,1,0,0.00,4.00,0.00,null
13,0,1,0,0.00,4.00,0.00,null
14,0,1,0,0.00,4.00,0.00,null
15,0,1,0,0.00,4.00,0.00,null
16,0,1,0,0.00,4.00,0.00,null
17,0,1,0,0.00,4.00,0.00,null
18,0,1,0,0.00,4.00,0.00,null
19,0,1,0,0.00,4.00,0.00,null
20,0,1,0,0.00,4.00,0.00,null
21,0,1,0,0.00,4.00,0.00,null
22,0,1,0,0.00,4.00,0.00,null
23,0,1,0,0.00,4.00,0.00,null
24,0,1,0,0.00,4.00,0.00,null
25,0,1,0,0.00,4.00,0.00,null
26,0,1,0,0.00,4.00,0.00,null
27,0,1,0,0.00,4.00,0.00,null
28,0,1,0,0.00,4.00,0.00,null
29,0,1,0,0.00,4.00,0.00,null
30,0,1,0,0.00,4.00,0.00,null
31,0,1,0,0.00,4.00,0.00,null
32,0,1,0,0.00,4.00,0.00,null
33,0,1,0,0.00,4.00,0.00,null
34,0,1,0,0.00,4.00,0.00,null
35,0,1,0,0.00,4.00,0.00,null
